Id,V1,V2,Hashtag
398,44.41406228,-45.69203602,Warriors
399,40.56522236,8.433266494,RT
400,-11.89563154,-49.46641394,NetNeutrality
401,-23.37989051,28.61893341,follow
402,-50.55425901,12.51356537,craftbeer
403,-8.096128182,-6.989440418,PrayForOrlando
404,-15.55809027,-67.42606082,Obama
405,39.25014484,75.08870774,dogsofinstagram
406,-64.19006783,54.57499767,Nashville
407,-43.96036681,-13.84333876,weather
408,-60.62170061,-45.12018317,la
409,-26.76275978,1.811938649,fire
410,-52.80732353,-27.39758286,hot
411,-14.35960484,-8.274166567,realestate
412,-2.247936545,-68.04570172,debates
413,16.8330151,3.495550169,LEMONADE
414,10.2544081,-61.61714007,cdmx
415,-20.7844626,49.78965071,freedom
416,-10.74044678,42.04147816,thanks
417,-39.80776496,-23.02800292,blizzard2016
418,-23.25848013,71.92339199,entrepreneur
419,-44.69398625,27.25602451,Easter
420,21.94450088,-60.8030847,Colombia
421,-44.90720271,27.43533011,Thanksgiving
422,82.4348363,-23.81551624,nfl
423,22.07322742,-1.174661663,VIEWS
424,4.869543784,-22.64097071,HalaMadrid
425,-47.76652097,-66.71467689,newyorkcity
426,34.069705,69.23922093,cat
427,28.69279423,5.262593956,FlashbackFriday
428,-82.50118704,5.065136128,tacos
429,-11.30811223,-31.93334319,fireworks
430,-41.34166911,-21.08365677,snowday
431,-21.76123378,12.16138478,throwbackthursday
432,-33.81068317,54.03676144,community
433,-10.87668654,-68.70010108,Hillary
434,-58.57368784,-43.44550719,sandiego
435,-39.06482205,-65.58575937,Brooklyn
436,60.21956026,-69.20716742,MLB
437,34.05026832,-25.93322508,FathersDay
438,37.7142144,47.85570476,hair
439,-22.95898884,61.9058109,Snapchat
440,12.45473622,-22.751317,GoBucks
441,-51.44703745,-35.88528305,beachlife
442,54.41578684,27.77378762,concert
443,54.17433006,-7.777795044,Friends
444,-4.013633685,-78.46459207,imwithher
445,60.97767346,-40.21311716,streetart
446,13.32338836,46.78615231,bye
447,-43.72548651,37.89006047,mom
448,-1.47729292,4.395315339,SXSW
449,-62.16100056,-47.74577231,Hollywood
450,6.282423019,-16.23595963,BestChampPerformance
451,-32.80911252,-47.35883994,??????
452,-18.76829063,5.242560319,orlando
453,-0.304512616,-58.41650856,WTF
454,-25.13411915,-5.343472015,EarthDay
455,-5.796278428,83.26660511,no
456,-43.76080817,-8.163435179,rainbow
457,-25.42815725,-18.60617604,boston
458,-41.4671171,30.90347996,NationalSiblingsDay
459,7.053413689,1.417087141,MayThe4thBeWithYou
460,-26.74344843,-17.93145699,seattle
461,-30.53453405,72.64922001,tech
462,-40.17533352,34.42788983,happymothersday
463,14.73745529,48.79119934,dead
464,-11.61129932,-32.1007194,4thofjuly
465,34.54491693,69.47097089,cats
466,5.452136345,-9.784508399,CaptainAmericaCivilWar
467,-26.79746351,61.3794095,Apple
468,-25.20810857,27.973639,picoftheday
469,11.66271399,16.74289186,BatmanvSuperman
470,7.159396047,-14.37859473,UFC202
471,-12.88006592,-70.14233612,TrumpTrain
472,-12.52250881,-34.57543542,merica
473,13.82011366,-27.02363986,NovaNation
474,35.91471727,-36.61240963,NBAVote
475,46.77901406,44.49690104,vintage
476,-64.16851737,-50.08594841,SanDiego
477,30.28815791,38.85017598,photoshoot
478,12.82010885,45.50595826,firstworldproblems
479,69.09532904,11.73816277,WrestleMania
480,17.37274201,-27.08918153,GoBlue
481,27.70303038,32.85867156,film
482,-34.95107784,50.87609952,women
483,11.90362504,50.17727269,why
484,13.50683923,-15.60270932,Sweepstakes
485,-32.73631418,17.09192029,squadgoals
486,24.39749337,14.73972219,GIFparty
487,-50.12709992,14.89510869,happyhour
488,-38.02853703,38.33023034,baby
489,21.20032402,0.735646876,MCM
490,-9.382532167,-24.20997545,HurricaneMatthew
491,45.47215059,-0.892089419,ThankYou
492,-43.91900959,-33.61686525,hawaii
493,12.51405071,48.01841217,savage
494,40.18184029,-34.11700425,basketball
495,9.854751455,69.33531501,run
496,-21.69123971,-59.47096352,fakenews
